article_id,title,y_true,text_length,tokenizer,repr,model,repeats,token_count_avg,pred_avg,score_avg,tokenize_sec,feature_sec,predict_sec,total_infer_sec
691074a0dbeaa9b9eebdf9e2,黑人吃定大牙沒證據,1,5,jieba,tfidf,lr,3,4.0,1.0,0.983641528990121,9.46999837954839e-05,0.0008644999858612815,0.0005763999846143028,0.001535599954271068
691074a0dbeaa9b9eebdf9e2,黑人吃定大牙沒證據,1,5,jieba,tfidf_svd300,svm_rbf,3,4.0,1.0,0.9828575606173787,0.00010793334028373162,0.0026471333500618735,0.0022611000070658824,0.005016166697411488
691074a0dbeaa9b9eebdf9e2,黑人吃定大牙沒證據,1,5,jieba,tfidf_svd300,svm_poly,3,4.0,1.0,0.8404428920177724,9.943333376819889e-05,0.002625500007222096,0.0020986000114741423,0.0048235333524644375
691074a0dbeaa9b9eebdf9e2,黑人吃定大牙沒證據,1,5,jieba,tfidf_svd300,rf,3,4.0,1.0,1.0,7.886664631466071e-05,0.002229233330581337,0.19896136664707834,0.20126946662397435
691074a0dbeaa9b9eebdf9e2,黑人吃定大牙沒證據,1,5,jieba,tfidf_svd300,mlp,3,4.0,1.0,0.8635526299476624,6.906666870539387e-05,0.0018239666824229062,0.0008243333431892097,0.00271736669431751
691074a0dbeaa9b9eebdf9e2,黑人吃定大牙沒證據,1,5,jieba,tfidf_svd300,xgb,3,4.0,1.0,0.9999740123748779,7.696669005478422e-05,0.00233600001471738,0.0016962333271900814,0.004109200031962246
691074a0dbeaa9b9eebdf9e2,黑人吃定大牙沒證據,1,5,jieba,w2v_mean,lr,3,4.0,1.0,0.9971802525013693,6.796666032945116e-05,5.503330612555146e-05,0.0007127333277215561,0.0008357332941765586
691074a0dbeaa9b9eebdf9e2,黑人吃定大牙沒證據,1,5,jieba,w2v_mean,svm_rbf,3,4.0,1.0,0.9772635907901882,4.74000310835739e-05,5.216667583833138e-05,0.0010406333409870665,0.0011402000479089718
691074a0dbeaa9b9eebdf9e2,黑人吃定大牙沒證據,1,5,jieba,w2v_mean,svm_poly,3,4.0,1.0,0.9751967479516767,5.229997138182322e-05,5.289999535307288e-05,0.0008534666655274729,0.000958666632262369
691074a0dbeaa9b9eebdf9e2,黑人吃定大牙沒證據,1,5,jieba,w2v_mean,rf,3,4.0,1.0,1.0,6.97000262637933e-05,9.030000849937399e-05,0.1843265333251717,0.1844865333599349
691074a0dbeaa9b9eebdf9e2,黑人吃定大牙沒證據,1,5,jieba,w2v_mean,mlp,3,4.0,1.0,0.999992847442627,5.51333068870008e-05,5.7166655703137316e-05,0.000599266670178622,0.0007115666327687601
691074a0dbeaa9b9eebdf9e2,黑人吃定大牙沒證據,1,5,jieba,w2v_mean,xgb,3,4.0,1.0,0.9999827146530151,9.043334284797311e-05,9.200002144401272e-05,0.002135733336520692,0.0023181667008126774
691074a0dbeaa9b9eebdf9e2,黑人吃定大牙沒證據,1,5,jieba,fasttext_mean,lr,3,4.0,1.0,0.9971935921794127,7.840001489967108e-05,9.519998760273059e-05,0.0010672666830942035,0.001240866685596605
691074a0dbeaa9b9eebdf9e2,黑人吃定大牙沒證據,1,5,jieba,fasttext_mean,svm_rbf,3,4.0,1.0,0.9780371264267278,7.450000460570057e-05,8.946668822318316e-05,0.0013313666956188779,0.0014953333884477615
691074a0dbeaa9b9eebdf9e2,黑人吃定大牙沒證據,1,5,jieba,fasttext_mean,svm_poly,3,4.0,1.0,0.9688064587592176,6.506667705252767e-05,7.81333267999192e-05,0.0011496000030698876,0.0012928000069223344
